state,modeldate,candidate_name,startdate,enddate,pollster,pollster_rating_id,samplesize,population,weight,influence,pct,house_adjusted_pct,trend_and_house_adjusted_pct,tracking,poll_id,question_id
"Pennsylvania","8/4/2024","Convention Bounce for Donald Trump","7/23/2024","7/29/2024","Public Opinion Strategies",260,400,"lv",.9511118,.799179,46.66667,46.70163,46.34123,"",87647,204996
"Georgia","8/4/2024","Convention Bounce for Donald Trump","7/24/2024","7/28/2024","Morning Consult",218,799,"rv",.9599783,.8066291,46.66667,46.55373,46.31167,"",87622,204795
"National","8/4/2024","Convention Bounce for Donald Trump","7/23/2024","7/29/2024","McLaughlin & Associates",203,1000,"lv",.7394398,.5840413,46.66667,46.765,46.30835,"",87640,204925
"Arizona","8/4/2024","Convention Bounce for Donald Trump","7/23/2024","7/29/2024","Public Opinion Strategies",260,400,"lv",.9511118,.799179,46.66667,46.59415,46.23168,"",87644,204993
"Nevada","8/4/2024","Convention Bounce for Donald Trump","7/23/2024","7/29/2024","Public Opinion Strategies",260,400,"lv",.9511118,.9511118,46.66667,46.47038,46.21459,"",87646,204995
"Wisconsin","8/4/2024","Convention Bounce for Donald Trump","7/23/2024","7/29/2024","Public Opinion Strategies",260,400,"lv",.9511118,.9511118,46.66667,46.68183,46.39795,"",87648,204997
"Nevada","8/4/2024","Convention Bounce for Donald Trump","7/24/2024","7/28/2024","Morning Consult",218,454,"rv",.8107653,.8107653,46.66667,46.50586,46.23712,"",87624,204797
"Ohio","8/4/2024","Convention Bounce for Donald Trump","7/23/2024","7/28/2024","Fabrizio Lee & Associates/Impact Research",694,600,"lv",.8675019,.8675019,46.90476,46.90476,46.54232,"",87650,205029
"National","8/4/2024","Convention Bounce for Donald Trump","7/25/2024","7/27/2024","Morning Consult",218,4000,"rv",.2493678,.1961714,46.66667,46.8175,46.43373,"T",87598,204618
"Wisconsin","8/4/2024","Convention Bounce for Donald Trump","7/24/2024","7/28/2024","Morning Consult",218,700,"rv",.9275542,.9275542,46.66667,46.69126,46.415,"",87627,204800
"Pennsylvania","8/4/2024","Convention Bounce for Donald Trump","7/24/2024","7/28/2024","Morning Consult",218,804,"rv",.9615175,.8079224,46.66667,46.71149,46.35931,"",87626,204799
"North Carolina","8/4/2024","Convention Bounce for Donald Trump","7/24/2024","7/28/2024","Morning Consult",218,706,"rv",.9296545,.9296545,46.66667,46.7889,46.37664,"",87625,204798
"Arizona","8/4/2024","Convention Bounce for Donald Trump","7/24/2024","7/28/2024","Morning Consult",218,804,"rv",.9615175,.8079224,46.66667,46.60248,46.24914,"",87621,204794
"Oregon","8/4/2024","Convention Bounce for Donald Trump","7/24/2024","7/26/2024","Hoffman Research Group",141,700,"lv",.8395725,.8395725,47.14286,47.14286,46.66878,"",87634,204851
"Washington","8/4/2024","Convention Bounce for Donald Trump","7/24/2024","7/25/2024","Public Policy Polling",263,581,"lv",.9104527,.9104527,47.38095,47.77742,47.97162,"",87576,204375
"National","8/4/2024","Convention Bounce for Donald Trump","7/24/2024","7/25/2024","Rasmussen Reports",277,2163,"lv",1.215129,.913587,47.38095,47.27564,46.72448,"",200043,2000432
"National","8/4/2024","Convention Bounce for Donald Trump","7/24/2024","7/26/2024","Morning Consult",218,4000,"rv",.2498421,.1874944,47.14286,47.2938,46.77129,"T",87599,204619
"National","8/4/2024","Convention Bounce for Donald Trump","7/24/2024","7/25/2024","Ipsos",154,1238,"a",.6273472,.4713413,47.38095,47.46152,46.83675,"",87614,204763
"New Hampshire","8/4/2024","Convention Bounce for Donald Trump","7/24/2024","7/25/2024","Saint Anselm College",494,2083,"rv",1.363115,1.284013,47.38095,47.40555,46.91366,"",87560,204339
"Pennsylvania","8/4/2024","Convention Bounce for Donald Trump","7/23/2024","7/25/2024","Bullfinch",692,800,"rv",.8577757,.6522411,47.61905,47.44898,46.91805,"",87575,204378
"National","8/4/2024","Convention Bounce for Donald Trump","7/23/2024","7/25/2024","Morning Consult",218,4000,"rv",.2533191,.1807941,47.61905,47.77008,47.13837,"T",87600,204620
"National","8/4/2024","Convention Bounce for Donald Trump","7/23/2024","7/25/2024","Angus Reid Global",13,1743,"rv",1.373048,.9883071,47.61905,47.48653,46.79293,"",87592,204593
"Maine","8/4/2024","Convention Bounce for Donald Trump","7/23/2024","7/25/2024","University of New Hampshire",357,1445,"lv",1.02402,1.02402,47.61905,47.6128,47.07132,"",87558,204333
"National","8/4/2024","Convention Bounce for Donald Trump","7/23/2024","7/25/2024","Fabrizio/GBAO",796,1000,"rv",.9019572,.6492203,47.61905,47.49597,46.80399,"",87580,204500
"New Hampshire","8/4/2024","Convention Bounce for Donald Trump","7/23/2024","7/25/2024","University of New Hampshire",357,2875,"lv",1.16764,1.066002,47.61905,47.59739,47.04356,"",87559,204335
"Minnesota","8/4/2024","Convention Bounce for Donald Trump","7/23/2024","7/25/2024","SurveyUSA",325,656,"lv",1.293963,1.293963,47.61905,47.69673,47.09389,"",87581,204502
"National","8/4/2024","Convention Bounce for Donald Trump","7/23/2024","7/25/2024","AtlasIntel",546,1980,"rv",1.749679,1.259403,47.61905,47.48442,46.79046,"",87590,204553
"Pennsylvania","8/4/2024","Convention Bounce for Donald Trump","7/22/2024","7/28/2024","Susquehanna Polling & Research Inc.",326,600,"lv",1.078603,.6478565,47.14286,47.1188,46.27618,"",87618,204782
"National","8/4/2024","Convention Bounce for Donald Trump","7/22/2024","7/25/2024","Harris Insights & Analytics",133,2472,"lv",1.213677,.6519367,47.85714,47.75523,46.57898,"",87579,204443
"National","8/4/2024","Convention Bounce for Donald Trump","7/22/2024","7/26/2024","Clarity Campaign Labs",52,995,"lv",1.142427,.622234,47.61905,47.69114,46.48457,"",87659,205198
"National","8/4/2024","Convention Bounce for Donald Trump","7/22/2024","7/24/2024","Change Research",48,2137,"rv",1.139644,.5808007,48.09524,48.03509,46.75671,"",87553,204173
"National","8/4/2024","Convention Bounce for Donald Trump","7/22/2024","7/23/2024","YouGov",391,1155,"lv",.8567539,.4194448,48.33333,48.5337,47.23034,"",87555,204188
"Pennsylvania","8/4/2024","Convention Bounce for Donald Trump","7/22/2024","7/24/2024","Beacon Research/Shaw & Co. Research",103,1034,"rv",1.398447,.7282733,48.09524,47.85346,46.88514,"",87583,204507
"Minnesota","8/4/2024","Convention Bounce for Donald Trump","7/22/2024","7/24/2024","Beacon Research/Shaw & Co. Research",103,1071,"rv",1.415126,1.057523,48.09524,48.05274,47.03046,"",87584,204511
"Arizona","8/4/2024","Convention Bounce for Donald Trump","7/22/2024","7/23/2024","Emerson College",88,800,"rv",1.235309,.6433157,48.33333,47.98214,46.8813,"",87542,204153
"National","8/4/2024","Convention Bounce for Donald Trump","7/22/2024","7/24/2024","Morning Consult",218,11297,"rv",.4644938,.2232552,48.09524,48.24635,46.96019,"T",87552,204169
"National","8/4/2024","Convention Bounce for Donald Trump","7/22/2024","7/24/2024","The New York Times/Siena College",448,1142,"lv",1.681785,.8570943,48.09524,48.05046,46.75948,"",87557,204206
"Wisconsin","8/4/2024","Convention Bounce for Donald Trump","7/22/2024","7/23/2024","Emerson College",88,845,"rv",1.257808,.7588529,48.33333,48.01858,47.15637,"",87545,204156
"Georgia","8/4/2024","Convention Bounce for Donald Trump","7/22/2024","7/24/2024","Redfield & Wilton Strategies",562,1180,"lv",.9752806,.5078998,48.09524,47.6556,46.83127,"",87568,204353
"Michigan","8/4/2024","Convention Bounce for Donald Trump","7/22/2024","7/24/2024","Glengariff Group",117,600,"lv",.9587052,.5783999,48.09524,48.02783,46.94584,"",87572,204360
"Nevada","8/4/2024","Convention Bounce for Donald Trump","7/22/2024","7/24/2024","Redfield & Wilton Strategies",562,435,"lv",.7668447,.6576853,48.09524,47.65789,46.61747,"",87562,204356
"Michigan","8/4/2024","Convention Bounce for Donald Trump","7/22/2024","7/24/2024","Beacon Research/Shaw & Co. Research",103,1012,"rv",1.388323,.8375943,48.09524,48.01818,46.94262,"",87585,204515
"North Carolina","8/4/2024","Convention Bounce for Donald Trump","7/22/2024","7/24/2024","Redfield & Wilton Strategies",562,586,"lv",.8328815,.6309597,48.09524,47.95077,46.93982,"",87564,204357
"Minnesota","8/4/2024","Convention Bounce for Donald Trump","7/22/2024","7/24/2024","Redfield & Wilton Strategies",562,475,"lv",.7872432,.5883062,48.09524,48.04509,47.03815,"",87570,204355
"National","8/4/2024","Convention Bounce for Donald Trump","7/22/2024","7/24/2024","Rasmussen Reports",277,1074,"lv",.9359708,.4711325,48.09524,47.98984,46.67545,"",200041,2000412
"Michigan","8/4/2024","Convention Bounce for Donald Trump","7/22/2024","7/24/2024","Redfield & Wilton Strategies",562,512,"lv",.804052,.4850955,48.09524,48.01521,46.95477,"",87569,204354
"Wisconsin","8/4/2024","Convention Bounce for Donald Trump","7/22/2024","7/24/2024","Redfield & Wilton Strategies",562,523,"lv",.8087144,.4879084,48.09524,47.84976,46.98552,"",87571,204359
"National","8/4/2024","Convention Bounce for Donald Trump","7/22/2024","7/24/2024","Big Village",37,1492,"lv",1.173604,.5981079,48.09524,48.25322,46.97948,"",87541,204138
"National","8/4/2024","Convention Bounce for Donald Trump","7/22/2024","7/23/2024","SSRS",297,1631,"rv",.9972708,.5082427,48.33333,48.04565,46.70859,"",200042,2000421
"Michigan","8/4/2024","Convention Bounce for Donald Trump","7/22/2024","7/23/2024","Emerson College",88,800,"rv",1.235309,.7452789,48.33333,48.20264,47.12909,"",87544,204155
"Florida","8/4/2024","Convention Bounce for Donald Trump","7/22/2024","7/24/2024","Redfield & Wilton Strategies",562,572,"lv",.8278549,.7100108,48.09524,47.5757,46.70909,"",87567,204352
"Pennsylvania","8/4/2024","Convention Bounce for Donald Trump","7/22/2024","7/24/2024","Redfield & Wilton Strategies",562,851,"lv",.9082868,.4730112,48.09524,47.85432,46.89835,"",87563,204358
"National","8/4/2024","Convention Bounce for Donald Trump","7/22/2024","7/23/2024","RMG Research",555,2000,"rv",.9761361,.4874534,48.33333,48.71394,47.38919,"",87539,204123
"Pennsylvania","8/4/2024","Convention Bounce for Donald Trump","7/22/2024","7/23/2024","Emerson College",88,850,"rv",1.260253,.6563057,48.33333,48.04652,47.07488,"",87546,204157
"National","8/4/2024","Convention Bounce for Donald Trump","7/22/2024","7/23/2024","Ipsos",154,1018,"rv",.7428646,.3710651,48.33333,48.41398,47.02541,"",87530,203951
"National","8/4/2024","Convention Bounce for Donald Trump","7/22/2024","7/24/2024","SurveyMonkey",324,5265,"a",1.026118,.5229442,48.09524,48.03183,46.75599,"",87561,204361
"Georgia","8/4/2024","Convention Bounce for Donald Trump","7/22/2024","7/23/2024","Emerson College",88,800,"rv",1.235309,.6433157,48.33333,47.87996,47.01858,"",87543,204154
"Arizona","8/4/2024","Convention Bounce for Donald Trump","7/22/2024","7/24/2024","Redfield & Wilton Strategies",562,510,"lv",.8031887,.4182789,48.09524,47.81503,46.71101,"",87566,204351
"Wisconsin","8/4/2024","Convention Bounce for Donald Trump","7/22/2024","7/24/2024","Beacon Research/Shaw & Co. Research",103,1046,"rv",1.403903,.8469938,48.09524,47.82281,46.96863,"",87582,204503
"Georgia","8/4/2024","Convention Bounce for Donald Trump","7/22/2024","7/22/2024","Landmark Communications",166,400,"lv",1.007723,.2833309,48.57143,47.93245,47.10345,"",87534,204026
"National","8/4/2024","Convention Bounce for Donald Trump","7/21/2024","7/23/2024","ActiVote",721,1000,"lv",.8537234,.2394981,48.57143,48.59972,47.02861,"",87537,204106
"Pennsylvania","8/4/2024","Convention Bounce for Donald Trump","7/20/2024","7/23/2024","North Star Opinion Research",233,600,"lv",.9908795,.2785951,48.80952,48.4739,47.30222,"",87540,204126
"National","8/4/2024","Convention Bounce for Donald Trump","7/21/2024","7/23/2024","YouGov",391,1435,"rv",.9299326,.2477968,48.57143,48.77183,47.17875,"",87536,204062
"National","8/4/2024","Convention Bounce for Donald Trump","7/22/2024","7/22/2024","Marist College",183,1117,"rv",1.429356,.4280586,48.57143,48.59814,46.99977,"",87531,203980
"National","8/4/2024","Convention Bounce for Donald Trump","7/21/2024","7/22/2024","Morning Consult",218,4001,"rv",1.176576,.1895945,48.80952,48.96072,47.38928,"",87523,203777
"National","8/4/2024","Convention Bounce for Donald Trump","7/19/2024","7/22/2024","YouGov",391,1178,"rv",.9547908,.1448797,49.28571,49.48618,47.92284,"",87529,203943
"Arizona","8/4/2024","Convention Bounce for Donald Trump","7/19/2024","7/20/2024","Public Policy Polling",263,736,"rv",.8179438,.042658,49.76191,51.19452,49.63624,"",87525,203798
"National","8/4/2024","Convention Bounce for Donald Trump","7/19/2024","7/21/2024","Quinnipiac University",267,1257,"rv",1.355245,.1487464,49.52381,49.00881,47.95608,"",87524,203795
"National","8/4/2024","Convention Bounce for Donald Trump","7/19/2024","7/21/2024","Harris Insights & Analytics",133,2169,"lv",1.40644,.1513911,49.52381,49.42178,48.24744,"",87521,203737
"New Hampshire","8/4/2024","Convention Bounce for Donald Trump","7/19/2024","7/21/2024","Praecones Analytica",257,601,"rv",.8685638,.1881233,49.52381,49.16917,48.38018,"",87509,203620
"National","8/4/2024","Convention Bounce for Donald Trump","7/19/2024","7/21/2024","Echelon Insights",407,982,"lv",1.198089,.1314975,49.52381,49.01628,47.96088,"",87520,203669
"North Carolina","8/4/2024","Convention Bounce for Donald Trump","7/19/2024","7/20/2024","Public Policy Polling",263,573,"rv",.87103,.1847262,49.76191,50.83252,49.92732,"",87526,203802
"National","8/4/2024","Convention Bounce for Donald Trump","7/19/2024","7/21/2024","Florida Atlantic University/Mainstreet Research",770,711,"lv",.9121562,.1001147,49.52381,49.31079,48.1619,"",87528,203855
"Pennsylvania","8/4/2024","Convention Bounce for Donald Trump","7/17/2024","7/18/2024","Public Policy Polling",263,624,"rv",.863735,.0202795,46.25,47.79651,48.43129,"",87485,203573
"Michigan","8/4/2024","Convention Bounce for Donald Trump","7/17/2024","7/18/2024","Public Policy Polling",263,650,"rv",.7623327,.0030852,46.25,48.26846,48.50349,"",87486,203577
"National","8/4/2024","Convention Bounce for Donald Trump","7/16/2024","7/18/2024","YouGov",391,2240,"lv",1.411647,0,45,45.19926,46.89122,"",87483,203552
"Georgia","8/4/2024","Convention Bounce for Donald Trump","7/9/2024","7/18/2024","University of Georgia",350,1000,"lv",1.119954,0,43.75,43.76271,46.60932,"",87510,203623
"Pennsylvania","8/4/2024","Convention Bounce for Donald Trump","7/15/2024","7/16/2024","InsiderAdvantage",243,800,"lv",1.01441,0,41.25,41.55495,45.48919,"",87475,203530
"Florida","8/4/2024","Convention Bounce for Donald Trump","7/15/2024","7/16/2024","InsiderAdvantage",243,800,"lv",1.01441,.18411,41.25,42.06572,45.42361,"",87467,203388
"National","8/4/2024","Convention Bounce for Donald Trump","7/15/2024","7/16/2024","Ipsos",154,992,"rv",.8833403,0,41.25,41.32914,45.29881,"",87433,203337
"Georgia","8/4/2024","Convention Bounce for Donald Trump","7/15/2024","7/16/2024","InsiderAdvantage",243,800,"lv",1.01441,0,41.25,41.8664,45.048,"",87429,203135
"Nevada","8/4/2024","Convention Bounce for Donald Trump","7/15/2024","7/16/2024","InsiderAdvantage",243,800,"lv",1.01441,.18411,41.25,42.06697,45.46695,"",87476,203531
"Arizona","8/4/2024","Convention Bounce for Donald Trump","7/15/2024","7/16/2024","InsiderAdvantage",243,800,"lv",1.01441,0,41.25,42.09584,45.58199,"",87477,203532
"Wisconsin","8/4/2024","Convention Bounce for Donald Trump","7/13/2024","7/16/2024","Civiqs",471,514,"rv",.7301393,0,41.25,43.25449,46.96372,"",87493,203594
"Michigan","8/4/2024","Convention Bounce for Donald Trump","7/13/2024","7/16/2024","Civiqs",471,532,"rv",.7372482,0,41.25,43.47587,47.00681,"",87494,203593
"National","8/4/2024","Convention Bounce for Donald Trump","7/13/2024","7/16/2024","YouGov",391,1404,"rv",1.088165,0,41.25,41.44666,45.76699,"",87437,203235
"Pennsylvania","8/4/2024","Convention Bounce for Donald Trump","7/13/2024","7/16/2024","Civiqs",471,536,"rv",.738781,0,41.25,42.75758,46.84502,"",87492,203589
"Virginia","8/4/2024","Convention Bounce for Donald Trump","7/14/2024","7/15/2024","Florida Atlantic University/Mainstreet Research",770,265,"lv",.479259,.479259,40,40.01418,44.4404,"",87473,203521
"National","8/4/2024","Convention Bounce for Donald Trump","7/15/2024","7/15/2024","Morning Consult",218,2045,"rv",1.201874,0,40,40.14743,45.13936,"",87423,203020
"Virginia","8/4/2024","Convention Bounce for Donald Trump","7/14/2024","7/15/2024","Emerson College",88,1000,"rv",1.329066,1.329066,40,39.98392,44.44779,"",87468,203402
"Georgia","8/4/2024","Convention Bounce for Donald Trump","7/14/2024","7/15/2024","Florida Atlantic University/Mainstreet Research",770,312,"lv",.5107227,0,40,40.95609,44.63386,"",87471,203507
"National","8/4/2024","Convention Bounce for Donald Trump","7/12/2024","7/15/2024","SurveyUSA",325,1098,"lv",1.549629,0,40,40.32359,45.41517,"",87449,203390
"National","8/4/2024","Convention Bounce for Donald Trump","7/13/2024","7/15/2024","Harris Insights & Analytics",133,1918,"rv",1.180141,0,40,39.9006,45.03183,"",87435,203234
"Georgia","8/4/2024","Convention Bounce for Donald Trump","7/12/2024","7/13/2024","Florida Atlantic University/Mainstreet Research",770,549,"lv",.6760592,0,40,40.95609,44.84831,"",87441,203499
"National","8/4/2024","Convention Bounce for Donald Trump","7/12/2024","7/14/2024","Big Village",37,1499,"lv",1.174875,0,40,40.15414,45.39809,"",87432,203162
"Virginia","8/4/2024","Convention Bounce for Donald Trump","7/12/2024","7/13/2024","Florida Atlantic University/Mainstreet Research",770,544,"lv",.6923547,.6370167,40,40.01418,44.64519,"",87440,203513
"Washington","8/4/2024","Convention Bounce for Donald Trump","7/10/2024","7/13/2024","SurveyUSA",325,708,"lv",1.329363,.2387091,40,40.01947,44.93656,"",87430,203358
"Michigan","8/4/2024","Convention Bounce for Donald Trump","7/11/2024","7/12/2024","Public Policy Polling",263,568,"rv",.7965377,0,40,41.98039,46.44713,"",87513,203634
"Pennsylvania","8/4/2024","Convention Bounce for Donald Trump","7/11/2024","7/12/2024","Public Policy Polling",263,537,"rv",.8397312,0,40,41.51619,46.24149,"",87514,203641
"Wisconsin","8/4/2024","Convention Bounce for Donald Trump","7/10/2024","7/11/2024","Public Policy Polling",263,548,"rv",.8590776,0,40,42.10594,46.83509,"",87515,203648
"Arizona","8/4/2024","Convention Bounce for Donald Trump","7/10/2024","7/11/2024","Public Policy Polling",263,596,"rv",.8814034,0,40,41.40105,46.84658,"",87512,203627
"Virginia","8/4/2024","Convention Bounce for Donald Trump","7/9/2024","7/12/2024","The New York Times/Siena College",448,661,"lv",1.372263,1.153055,40,40.01247,44.88268,"",87404,202989
"Pennsylvania","8/4/2024","Convention Bounce for Donald Trump","7/9/2024","7/11/2024","The New York Times/Siena College",448,872,"lv",1.521815,0,40,40.70325,45.68109,"",87403,202987
"National","8/4/2024","Convention Bounce for Donald Trump","7/8/2024","7/11/2024","OH Predictive Insights",235,2295,"lv",1.298234,0,40,40.14624,45.98777,"",87395,203055
"National","8/4/2024","Convention Bounce for Donald Trump","7/7/2024","7/13/2024","Manhattan Institute",781,2100,"lv",1.078746,0,40,40.14474,45.98699,"",87436,203227
"National","8/4/2024","Convention Bounce for Donald Trump","7/9/2024","7/10/2024","Marist College",183,1174,"rv",1.453317,0,40,40.02604,45.95454,"",87377,202771
"National","8/4/2024","Convention Bounce for Donald Trump","7/7/2024","7/10/2024","Beacon Research/Shaw & Co. Research",103,1210,"rv",1.474272,0,40,40.0729,46.12519,"",87393,202866
"National","8/4/2024","Convention Bounce for Donald Trump","7/7/2024","7/8/2024","Emerson College",88,1370,"rv",1.470507,0,40,40.03804,46.19019,"",87361,202463
"Wisconsin","8/4/2024","Convention Bounce for Donald Trump","7/6/2024","7/10/2024","North Star Opinion Research",233,600,"lv",.9908795,0,40,40.87463,46.17631,"",87380,202817
"National","8/4/2024","Convention Bounce for Donald Trump","7/8/2024","7/8/2024","Redfield & Wilton Strategies",562,1101,"lv",.9610172,0,40,40.35118,46.5157,"",87364,202570
"National","8/4/2024","Convention Bounce for Donald Trump","7/7/2024","7/9/2024","YouGov",391,1443,"rv",1.086101,0,40,40.19547,46.44333,"",87363,202541
"National","8/4/2024","Convention Bounce for Donald Trump","7/7/2024","7/9/2024","Hart Research Associates/Public Opinion Strategies",221,800,"rv",1.105344,0,40,40.04813,46.19416,"",87394,202873
"National","8/4/2024","Convention Bounce for Donald Trump","7/5/2024","7/9/2024","Ipsos",154,2041,"rv",.9231689,0,40,40.07866,46.28632,"",87367,202656
"National","8/4/2024","Convention Bounce for Donald Trump","7/2/2024","7/6/2024","Bendixen & Amandi International",29,1000,"lv",.9656021,0,40,39.96983,46.39782,"",87358,202427
"National","8/4/2024","Convention Bounce for Donald Trump","7/1/2024","7/3/2024","Data for Progress",522,2067,"lv",1.089106,0,40,39.67914,46.40295,"",87366,202610
"National","8/4/2024","Convention Bounce for Donald Trump","7/1/2024","7/2/2024","Ipsos",154,892,"rv",.7207345,0,40,40.07866,46.84517,"",87297,201892
"National","8/4/2024","Convention Bounce for Donald Trump","7/1/2024","7/3/2024","J.L. Partners",619,1000,"lv",.9872479,0,40,39.86282,46.61886,"",87314,202142
"National","8/4/2024","Convention Bounce for Donald Trump","6/28/2024","7/1/2024","YouGov",391,1176,"rv",1.109194,0,40,40.19547,47.3898,"",87298,201923
"National","8/4/2024","Convention Bounce for Donald Trump","6/28/2024","6/30/2024","SSRS",297,1274,"rv",.9478914,0,40,39.71964,46.95536,"",87294,201882
"National","8/4/2024","Convention Bounce for Donald Trump","6/28/2024","6/30/2024","Harris Insights & Analytics",133,1500,"rv",1.198962,0,40,39.9006,47.21474,"",87304,202058
"National","8/4/2024","Convention Bounce for Donald Trump","6/28/2024","6/28/2024","Data for Progress",522,1011,"lv",.841207,0,40,39.67914,47.01188,"",87276,201737
"National","8/4/2024","Robert F. Kennedy","7/30/2024","8/2/2024","YouGov",391,3092,"lv",1.353623,1.353623,2,3.347464,3.336381,"",200044,2000442
"National","8/4/2024","Robert F. Kennedy","7/29/2024","7/31/2024","RMG Research",555,3000,"rv",1.214496,1.12733,6,6.020861,6.118688,"",87656,205165
"National","8/4/2024","Robert F. Kennedy","7/29/2024","7/29/2024","Redfield & Wilton Strategies",562,1750,"lv",1.05666,.9456279,5,4.925776,5.070224,"",87619,204785
"National","8/4/2024","Robert F. Kennedy","7/27/2024","7/30/2024","YouGov",391,1434,"rv",.9223676,.8232549,3,3.555546,3.659722,"",87628,204845
"National","8/4/2024","Robert F. Kennedy","7/26/2024","7/29/2024","American Pulse",836,1035,"lv",.9366338,.805407,3.1,3.667211,3.756896,"",87643,204991
"National","8/4/2024","Robert F. Kennedy","7/26/2024","7/28/2024","Harris Insights & Analytics",133,2196,"rv",1.174445,.9649319,9,5.773685,5.99559,"",87613,204702
"National","8/4/2024","Robert F. Kennedy","7/26/2024","7/27/2024","Florida Atlantic University/Mainstreet Research",770,952,"lv",.9772951,.8061405,8,6.522752,6.60811,"",87617,204775
"National","8/4/2024","Robert F. Kennedy","7/26/2024","7/28/2024","Leger",572,786,"lv",1.001678,.8262531,5,4.971086,5.055845,"",87642,204940
"National","8/4/2024","Robert F. Kennedy","7/24/2024","7/29/2024","ActiVote",721,1000,"lv",.9297488,.766921,10.3,8.34785,8.450814,"",87639,204877
"New Hampshire","8/4/2024","Robert F. Kennedy","7/26/2024","7/28/2024","Emerson College",88,1000,"rv",1.329066,1.329066,5.8,4.920067,4.977079,"",87635,204853
"Arizona","8/4/2024","Robert F. Kennedy","7/24/2024","7/28/2024","Morning Consult",218,804,"rv",.9615175,.9615175,5,4.061902,4.104993,"",87621,204794
"Pennsylvania","8/4/2024","Robert F. Kennedy","7/24/2024","7/28/2024","Morning Consult",218,804,"rv",.9615175,.9615175,3,2.576493,2.563242,"",87626,204799
